category,company,date_posted,desc,link,location,title
Other,Yusudi ,19th Jul 2019,"Training SummaryJijali is an online learning program that provides unique and personalized entrepreneurship and career training.Through this program, you will gain the practical skills needed to start and manage a business; and receive mentorship during the program.The Entrepreneurship…",https://ihub.co.ke/jobs/view/4783/fully-funded-career-and-entrepreneurship-training-program,"Nairobi, KE",Fully Funded Career and Entrepreneurship Training Program
Developer,Bnkability ,18th Jul 2019,"Bnkability is a tech platform that helps private Africa projects (energy, agriculture, manufacturing etc) get to bankability and automates the due diligence for investors (private equity firms, private debt firms, trade finance companies and institutional investors)through automation.…",https://ihub.co.ke/jobs/view/4781/frontend-engineer,"London, GB",Frontend Engineer
Other,Maison Interactive Limited ,16th Jul 2019,"Maison Interactive is a multidisciplinary design studio, working in the intersection of design and technology, we craft environments and experiences that delight, surprise, and engage.We do a wide range of experiential production work from permanent installations to live events…",https://ihub.co.ke/jobs/view/4780/creative-technologist,"Nairobi, KE",Creative Technologist
Developer,Maison Interactive Limited ,16th Jul 2019," Maison Interactive is a multidisciplinary design studio, working in the intersection of design and technology, we craft environments and experiences that delight, surprise, and engage.We are a quickly growing team and we are looking for someone to contribute in getting us to the…",https://ihub.co.ke/jobs/view/4779/full-stack-or-php-developer-full-time,"Nairobi, KE",Full stack (or PHP ) Developer - Full time
Developer,Incentro ,24th May 2019,"Vacancy: Senior Software DeveloperLocation:Nairobi, KenyaWork experience: 5plusyearsQualifications:relevant Bachelor's degreeCarepay:CarePay is a fast-growing fintech company with offices in Kenya, Nigeria, Tanzania and the…",https://ihub.co.ke/jobs/view/4745/software-developer,"Nairobi, KE",Software developer
Manager,Studio 31 ( part of Izone Africa Group) ,5th Jul 2019,"Job DescriptionWe are looking for a Back-End Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and…",https://ihub.co.ke/jobs/view/4773/senior-lead-developer,"Nairobi, KE",Senior Lead Developer
Manager,Studio 31 ( part of Izone Africa Group) ,5th Jul 2019,"ART DIRECTOR JOB DESCRIPTIONWe are looking for a talented and motivated Art Director to lead our creative, animation and development studio. The successful candidate must possess excellent team management and leadership qualities as well as the ability to maximize the talents of the…",https://ihub.co.ke/jobs/view/4772/art-director,"Nairobi, KE",Art Director
Manager,Stawika Capital Ltd ,3rd Jul 2019,"Basic QualificationsCustomer service skillsTableau / PowerBISQL and R/PythonShowpassion, and potential to mine massive amounts of data and perform large-scale data analysisOther QualificationsCompleted/Pursuing a BS/MS degree/diploma in Information Science,…",https://ihub.co.ke/jobs/view/4769/data-analyst,"Nairobi, KE",Data Analyst
Other,Stanford University ,2nd Jul 2019,"Finance & Administration AssociateStanford UniversityJob Number:Finance and Administration AssociateNairobi, Kenya - Full TimeStanford University Global LLC is seeking qualified candidates for the Stanford Institute for…",https://ihub.co.ke/jobs/view/4767/finance-administration-associate,"Nairobi, KE",Finance & Administration Associate
Developer,ONA Kenya ,28th Jun 2019,"At Ona, we don't just strive for diversity, we thrive on it. For Ona, diversity has been a spring board for creativity, innovation, and growth. We are committed to giving equal opportunities to employees and applicants regardless of their race, religion, gender, sexual orientation, colour,…",https://ihub.co.ke/jobs/view/4765/software-engineer-in-test,"Nairobi, KE",Software engineer in Test
Sales,InterIntel Technologies Limited ,28th Jun 2019,"Company Description:InterIntel is a Software Development company with its forte around FinTech, InsurTech as well as custom solutions.This covers different faucets, from mobile channels (Mobile Apps, SMS, USSD), Web Channels, Progressive Web Applications (PWAs) Payments Integrations, from…",https://ihub.co.ke/jobs/view/4764/sales-account-executive,"Nairobi, KE",Sales Account Executive
Technical Lead,ONA Kenya ,27th Jun 2019,"About us:The world’s leading humanitarian, development and global health organizations rely on Ona to improve their impact and accountability. We build technology that affords new opportunities for governments, development organizations and actors to be increasingly collaborative,…",https://ihub.co.ke/jobs/view/4763/technical-project-manager,"Nairobi, KE",Technical Project Manager
Designer,Ajira Connect Limited ,26th Jun 2019,"Roles and ResponsibilitiesGiving life to storylines and characters in online video adsTurning a script or a concept into an impressive computer-generated animationCreating models, drawings and illustrations electronicallyJoin images with background graphics and special effects…",https://ihub.co.ke/jobs/view/4761/experienced-animation-designer-animator,"Nairobi, KE",Experienced Animation Designer/Animator
